Área;Prioridad;Equipo;Componente;Actividad;Monto 2027 (CLP);Meses con gasto;Hoja;Fila origen;Observación
Planta de RILES;Sin clasificar;Electroválvula pozo pit calamidad;;Mantención Interna;381000;Jun;SUM 2027;83;
Planta de RILES;Sin clasificar;Electroválvula pozo pit a ecualizador;;Mantención Interna;381000;Jun;SUM 2027;84;"Área vacía en Excel; asignada por fila contigua (bloque Planta de RILES)"
Planta de RILES;Sin clasificar;Electroválvula 1 RAN;;Mantención Interna;381000;Jun;SUM 2027;85;"Área vacía en Excel; asignada por fila contigua (bloque Planta de RILES)"
Planta de RILES;Sin clasificar;Electroválvula 2 RAN;;Mantención Interna;381000;Jun;SUM 2027;86;"Área vacía en Excel; asignada por fila contigua (bloque Planta de RILES)"
Sala Compresores;P1;Compresor AF;;Repuestos Mantenimiento Anual.;45000000;Jun Jul;SUM 2027;128;
Sala Compresores;P1;Inspección Mensual Compresores de Baja Atlas;;;23400000;Ene Feb Mar Abr May Jun Jul Ago Sep Oct Nov Dic;SUM 2027;129;
Sala Compresores;P1;Compresor Baja ATLAS ZT45 N°2 Serie API794890.;;"Cambio de enfriador de aceite e intercooler, flexibles asociados, aceite y revisión/mantenimiento general del equipo;";9800000;Mar;SUM 2027;130;
Sala Compresores;P1;Secador MD100A ATLAS (Compresor Baja N°3);;Cambio de Enfriador de Aceite;3800000;Ene;SUM 2027;133;
Sala Compresores;P2;Compresor Baja ATLAS ZT55VSDFF N°1 Serie API794894.;;Reparación con cambio de caja y válvula de retención, resorte, kit de reubicación de válvula solenoide y ventilador radial, más revisión/mantenimiento genera;7500000;Abr;SUM 2027;131;
Sala Compresores;P3;Compresor VH15;;Repuestos Mantenimiento Anual.;2000000;Jun;SUM 2027;127;
Planta de Frío;P1;Motobomba 5 5,5kw (lowara);;Revisión eléctrica, revisión componentes mecánicas;1380000;Jun Jul;SUM 2027;73;
Planta de Frío;P1;Motobomba 6 5,5kw (lowara);;Revisión eléctrica, revisión componentes mecánicas;1380000;Abr Jul;SUM 2027;74;
Planta de Frío;P1;Motobomba 8 22kw (lowara);;Revisión eléctrica, revisión componentes mecánicas;1380000;Abr Jul;SUM 2027;76;
Planta de Frío;P1;Motobomba 3 4,0kw (lowara);;Revisión eléctrica, revisión componentes mecánicas;1100000;Abr Jul;SUM 2027;71;
Planta de Frío;P1;Motobomba 1 2,2kw (lowara);;Revisión eléctrica, revisión componentes mecánicas;1000000;Abr Jul;SUM 2027;69;
Planta de Frío;P2;Motobomba 7 5,5kw (lowara);;Revisión eléctrica, revisión componentes mecánicas;1380000;Jul Sep;SUM 2027;75;
Planta de Frío;P2;Motobomba 9 22kw (omega);;Revisión eléctrica, revisión componentes mecánicas;1380000;Jul Sep;SUM 2027;77;
Planta de Frío;P2;Motobomba 4 4,0kw (lowara);;Revisión eléctrica, revisión componentes mecánicas;1100000;Jul Sep;SUM 2027;72;
Planta de Frío;P2;Motobomba 2 2,2kw (lowara);;Revisión eléctrica, revisión componentes mecánicas;1000000;Jul Sep;SUM 2027;70;
Planta de Frío;Sin clasificar;Chiller N°1;;Revisión eléctrica, revisión componentes mecánicas;14400000;Mar Jun Sep Dic;SUM 2027;66;
Planta de Frío;Sin clasificar;Chiller N°2;;Revisión eléctrica, revisión componentes mecánicas;14400000;Mar Jun Sep Dic;SUM 2027;67;
Planta de Frío;Sin clasificar;Dry Cooler;;Revisión eléctrica, revisión componentes mecánicas;14400000;Mar Jun Sep Dic;SUM 2027;68;
SSEE;Sin clasificar;TGFyA;;Mantenimiento tablero sala de máquina;7500000;Jun;SUM 2027;147;
SSEE;Sin clasificar;TGFyA;;Cambio de aceite de trafo;5000000;Jun;SUM 2027;143;
SSEE;Sin clasificar;transformadores y celdas;;Mantenimiento a trafos;3920000;Jun;SUM 2027;140;
SSEE;Sin clasificar;transformadores y celdas;;Análisis de aceite de Trafos;3800000;Jun;SUM 2027;138;
SSEE;Sin clasificar;TGFyA;;mantencion TG de fuerza;3420000;Jun;SUM 2027;141;
SSEE;Sin clasificar;TGFyA;;Servicio de medición de datos;3360000;Jun Jul Ago Sep Oct Nov Dic;SUM 2027;145;
SSEE;Sin clasificar;TGFyA;;Mantenimiento circuitos planta (levantamiento plano unilineal);3000000;Mar;SUM 2027;148;
SSEE;Sin clasificar;Red Media Tensión;;limpieza de red aerea de MT;2200000;Jun;SUM 2027;149;
SSEE;Sin clasificar;TGFyC;;Mantención Banco de Condensadores;1680000;Jun;SUM 2027;150;
SSEE;Sin clasificar;TGFyA;;Mantenimiento a grupo electrógeno;1500000;Jun;SUM 2027;146;
SSEE;Sin clasificar;transformadores y celdas;;Mantenimiento a desconectadores;1200000;Jun;SUM 2027;139;
Sala de Caldera;P1;Caldera Generador de Vapor;;Mantención anual Caldera;10708500;Jun;SUM 2027;4;
Sala de Caldera;P1;Caldera Generador de Vapor;;Repuestos Mantención Caldera (valvulas de seguridad, manifold, componentes);7600000;Ene;SUM 2027;2;
Sala de Caldera;P1;Caldera Generador de Vapor;;Pruebas de Hermeticidad (analisis confiabilidad línea tubería GNL);3000000;Feb;SUM 2027;3;
Sala de Caldera;P2;Caldera Generador de Vapor;;Mantenimiento a alimentador de Gas;800000;Jun;SUM 2027;13;
Sala de Caldera;P3;Caldera Generador de Vapor;;Calibración Medidor Flujo Gas;3500000;Jun;SUM 2027;14;
Sala de Caldera;Sin clasificar;;;Medidor Portatil Sensor de Gases;3200000;Ene;SUM 2027;15;
Sala de Caldera;(2026, sin prioridad);caldera generador de vapor;;repuestos mantencion caldera;3563535;Jun Oct;Presupuesto 2026;4;Monto 2026
Sala de Caldera;(2026, sin prioridad);caldera generador de vapor;;mantencion anual caldera y desaireador;10062070;Feb Jun Oct;Presupuesto 2026;5;Monto 2026
Sala de Caldera;(2026, sin prioridad);infra estructura;;Puertas, ventanas, paredes e instalaciones eléctricas;2000000;Ene Mar Jun Sep;Presupuesto 2026;7;Monto 2026
Sala de Caldera;(2026, sin prioridad);infra estructura;;Pruebas isocinéticas;7000000;Jun;Presupuesto 2026;9;Monto 2026
Planta de Agua;(2026, sin prioridad);TK-2 /motobomba;;Motobomba 2 alimentación balance;2250000;Ene May Sep;Presupuesto 2026;10;Monto 2026
Planta de Agua;(2026, sin prioridad);TK-2 /motobomba;;Motobomba 3 alimentación balance;1500000;Ene May;Presupuesto 2026;11;Monto 2026
Planta de Agua;(2026, sin prioridad);Tk-4 /motombomba;;Motobomba principal;2250000;Feb Jun Oct;Presupuesto 2026;13;Monto 2026
Planta de Agua;(2026, sin prioridad);Tk-4 /motombomba;;Motobomba auxiliar;1950000;Feb Jun Oct;Presupuesto 2026;14;Monto 2026
Planta de Agua;(2026, sin prioridad);Tk-Balance /motobomba;;Motobomba Aseo;1950000;Feb Jun Oct;Presupuesto 2026;15;Monto 2026
